#{"t_start": 1605487278.9837074, "env_id": "PnPBaxter-v0"}
r,l,t
12.087218,20,1934.501892
15.028869,25,1941.21436
26.215199,43,1948.506387
21.585248,36,1955.67323
22.16729,37,1962.849562
22.734008,39,1970.377232
19.753657,33,1977.283568
32.851162,56,1985.0464
21.53137,35,1992.405743
15.047304,25,1999.143214
22.931369,38,2005.853017
21.630185,36,2013.151363
15.694552,26,2020.600806
26.645871,44,2027.373418
38.47689,66,2035.258903
30.698184,50,2043.150597
22.377719,37,2050.434953
19.511093,32,2057.287333
37.624266,63,2064.793366
21.544165,35,2072.43903
18.834031,31,2079.287426
22.896226,39,2086.93176
23.887136,39,2094.519461
36.368239,61,2102.325908
29.69943,48,2110.236732
19.004502,32,2117.443921
27.463673,45,2125.054877
51.5637,87,2133.498788
10.24508,17,2140.900296
23.043601,38,2148.058995
13.656224,23,2155.116746
18.348804,30,2161.935102
33.624401,55,2169.620355
23.681986,39,2177.303394
13.709598,23,2184.316779
30.912114,50,2191.963977
23.297058,38,2199.283962
10.799374,18,2206.050954
41.134533,71,2213.798886
53.439482,88,2222.705636
30.488768,50,2230.839722
46.59616,75,2239.317669
55.95423,94,2248.286056
19.217787,32,2256.289238
46.261641,75,2264.214099
16.339965,27,2272.064872
30.974071,52,2278.972379
15.497111,25,2286.021341
27.23342,45,2293.387062
54.583241,88,2301.883993
12.64907,21,2309.347141
29.370145,49,2316.476703
17.40944,29,2323.872541
13.656952,23,2330.89202
57.578996,95,2339.149547
14.220948,23,2347.026382
19.719595,32,2353.670733
49.581895,82,2361.5029
9.778111,16,2369.389093
32.670846,55,2376.433197
50.070732,80,2385.043037
11.242984,18,2392.466331
89.857607,149,2401.71983
0.590291,1,2419.928395
24.687519,40,2426.385808
64.042653,105,2435.165499
18.539092,31,2443.389963
14.121116,23,2450.407223
22.316657,37,2457.526135
61.442597,103,2466.554229
31.929866,52,2475.321474
47.261543,80,2483.900684
42.298867,70,2492.514868
45.169297,73,2501.193466
17.124583,29,2509.152956
29.754583,50,2516.64259
10.764478,18,2523.720972
41.733004,68,2531.297885
65.962695,111,2540.854765
86.431862,140,2551.505265
35.59809,61,2560.801585
41.354642,71,2569.026474
69.867283,114,2578.828595
49.789687,83,2588.367644
46.930093,77,2597.08129
51.340289,84,2606.071093
35.224547,59,2614.84549
38.086343,64,2623.078338
42.927098,72,2631.559916
37.523998,62,2639.880724
46.649092,75,2648.323971
23.731652,42,2656.596317
8.586936,14,2663.843612
24.317665,40,2670.955339
20.144172,33,2678.021405
81.845102,133,2687.20514
0.582405,1,2705.208122
20.982586,35,2711.47433
40.389772,65,2719.391994
67.353459,110,2729.116362
25.573064,42,2737.704952
32.246394,53,2744.994266
18.973592,31,2752.281386
22.412405,37,2759.351432
14.855276,24,2766.559212
54.918967,90,2774.44547
66.67541,109,2784.153358
33.047847,54,2792.509025
29.564785,47,2800.096094
